pl_name,hostname,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_eqt,st_teff,discoverymethod,disc_year
GJ 341 b,GJ 341,7.57686,,0.88,4.0,629.0,3770.0,Transit,2025
TOI-6894 b,TOI-6894,3.37077196,0.02604,9.5836785,53.39517238,417.9,3007.0,Transit,2025
IRAS 04125+2902 b,IRAS 04125+2902,8.834978,0.077,10.73820351,80.8,854.0,4080.0,Transit,2024
HIP 67522 c,HIP 67522,14.334892,0.1228,7.93595834,48.3,917.0,5675.0,Transit,2024
TOI-771 c,TOI-771,7.61,0.046,1.5,2.87,365.0,3370.0,Radial Velocity,2025
TOI-2076 e,TOI-2076,3.0223753,0.03863,1.301,4.7,1110.0,5187.0,Transit,2025
L 98-59 f,L 98-59,23.064,0.1052,1.48,2.8,285.0,3415.0,Radial Velocity,2025
HIP 41378 g,HIP 41378,64.067,,2.5,6.81,605.0,6371.0,Radial Velocity,2025
55 Cnc B b,55 Cnc B,6.7994,0.044,1.69,3.5,395.41,3286.0,Radial Velocity,2025
55 Cnc B c,55 Cnc B,33.747,0.13,2.16,5.3,230.04,3286.0,Radial Velocity,2025
GJ 3090 c,GJ 3090,15.9407,0.0997,3.14,10.0,407.2,3707.0,Radial Velocity,2026
TOI-4336 A c,TOI-4336 A,7.587266,0.05092,1.251,1.55,399.5,3307.0,Transit,2026
Kepler-12 b,Kepler-12,4.4379629,0.0553,19.660586,137.30256,1480.0,5947.0,Transit,2011
KOI-94 b,KOI-94,3.743208,0.05119,1.71,10.5,1486.0,6182.0,Transit,2013
Kepler-167 d,Kepler-167,21.80379,0.1404,1.238,2.06,538.0,4884.0,Transit,2016
Kepler-51 d,Kepler-51,130.194,0.509,9.7,7.6,381.0,6018.0,Transit,2014
Kepler-51 c,Kepler-51,85.312,0.384,9.0,4.0,439.0,6018.0,Transit,2012
Kepler-51 b,Kepler-51,45.154,0.2514,7.1,2.1,543.0,6018.0,Transit,2012
Kepler-167 b,Kepler-167,4.3931539,0.04825,1.718,3.6,918.0,4884.0,Transit,2014
KOI-94 c,KOI-94,10.423648,0.1013,4.32,15.6,1012.0,6182.0,Transit,2013
